,Paths,Angle
0,2024-06-21 00-27-16_1.png,0.0
1,2024-06-21 00-27-16_2.png,0.0
2,2024-06-21 00-27-17_3.png,0.0
3,2024-06-21 00-27-17_4.png,0.0
4,2024-06-21 00-27-18_5.png,0.0
5,2024-06-21 00-27-18_6.png,0.0
6,2024-06-21 00-27-19_7.png,0.0
7,2024-06-21 00-27-19_8.png,0.0
8,2024-06-21 00-27-20_9.png,0.0
9,2024-06-21 00-27-20_10.png,0.0
10,2024-06-21 00-27-21_11.png,0.0
11,2024-06-21 00-27-21_12.png,0.0
12,2024-06-21 00-27-22_13.png,0.0
13,2024-06-21 00-27-23_14.png,0.0
14,2024-06-21 00-27-23_15.png,0.0
15,2024-06-21 00-27-24_16.png,0.0
16,2024-06-21 00-27-24_17.png,0.0
17,2024-06-21 00-27-25_18.png,0.0
18,2024-06-21 00-27-25_19.png,0.0
19,2024-06-21 00-27-26_20.png,0.0
20,2024-06-21 00-27-26_21.png,0.0
21,2024-06-21 00-27-27_22.png,0.0
22,2024-06-21 00-27-27_23.png,0.0
23,2024-06-21 00-27-28_24.png,0.0
24,2024-06-21 00-27-28_25.png,0.0
25,2024-06-21 00-27-29_26.png,0.0
26,2024-06-21 00-27-29_27.png,0.0
27,2024-06-21 00-27-30_28.png,0.0
28,2024-06-21 00-27-31_29.png,0.0
29,2024-06-21 00-27-31_30.png,0.0
30,2024-06-21 00-27-32_31.png,0.0
31,2024-06-21 00-27-32_32.png,0.0
32,2024-06-21 00-27-33_33.png,0.0
33,2024-06-21 00-27-33_34.png,0.0
34,2024-06-21 00-27-34_35.png,0.0
35,2024-06-21 00-27-34_36.png,0.0
36,2024-06-21 00-27-35_37.png,0.0
37,2024-06-21 00-27-35_38.png,0.0
38,2024-06-21 00-27-36_39.png,0.0
39,2024-06-21 00-27-36_40.png,0.0
40,2024-06-21 00-27-37_41.png,0.0
41,2024-06-21 00-27-38_42.png,0.0
42,2024-06-21 00-27-38_43.png,0.0
43,2024-06-21 00-27-39_44.png,0.0
44,2024-06-21 00-27-39_45.png,0.0
45,2024-06-21 00-27-40_46.png,0.0
46,2024-06-21 00-27-40_47.png,0.0
47,2024-06-21 00-27-41_48.png,0.0
48,2024-06-21 00-27-41_49.png,0.0
49,2024-06-21 00-27-42_50.png,0.0
50,2024-06-21 00-27-42_51.png,0.0
51,2024-06-21 00-27-43_52.png,0.0
52,2024-06-21 00-27-43_53.png,0.0
53,2024-06-21 00-27-44_54.png,0.0
54,2024-06-21 00-27-44_55.png,0.0
55,2024-06-21 00-27-45_56.png,0.0
56,2024-06-21 00-27-46_57.png,0.0
57,2024-06-21 00-27-46_58.png,0.0
58,2024-06-21 00-27-47_59.png,0.0
59,2024-06-21 00-27-47_60.png,0.0
60,2024-06-21 00-27-48_61.png,0.0
61,2024-06-21 00-27-48_62.png,0.0
62,2024-06-21 00-27-49_63.png,0.0
63,2024-06-21 00-27-49_64.png,0.003982665486617634
64,2024-06-21 00-27-50_65.png,0.007950071718497268
65,2024-06-21 00-27-50_66.png,0.007950071718497268
66,2024-06-21 00-27-51_67.png,-0.023438215277565844
67,2024-06-21 00-27-51_68.png,0.0
68,2024-06-21 00-27-52_69.png,0.0
69,2024-06-21 00-27-52_70.png,-0.039063692129276406
70,2024-06-21 00-27-53_71.png,-0.04297006134220405
71,2024-06-21 00-27-53_72.png,-0.05078279976805933
72,2024-06-21 00-27-54_73.png,-0.08984649189733573
73,2024-06-21 00-27-55_74.png,-0.06250190740684225
74,2024-06-21 00-27-55_75.png,-0.019531846064638203
75,2024-06-21 00-27-56_76.png,-0.06640827661976989
76,2024-06-21 00-27-56_77.png,-0.05859553819391461
77,2024-06-21 00-27-57_78.png,-0.003906369212927641
78,2024-06-21 00-27-57_79.png,-0.07031464583269753
79,2024-06-21 00-27-58_80.png,-0.07812738425855281
80,2024-06-21 00-27-58_81.png,-0.07812738425855281
81,2024-06-21 00-27-59_82.png,-0.07422101504562517
82,2024-06-21 00-27-59_83.png,-0.07812738425855281
83,2024-06-21 00-28-00_84.png,-0.07812738425855281
84,2024-06-21 00-28-00_85.png,-0.07422101504562517
85,2024-06-21 00-28-01_86.png,-0.07031464583269753
86,2024-06-21 00-28-02_87.png,0.0
87,2024-06-21 00-28-02_88.png,-0.027344584490493484
88,2024-06-21 00-28-03_89.png,-0.06250190740684225
89,2024-06-21 00-28-03_90.png,-0.08203375347148045
90,2024-06-21 00-28-04_91.png,-0.0859401226844081
91,2024-06-21 00-28-04_92.png,-0.10156559953611866
92,2024-06-21 00-28-05_93.png,-0.11719107638782922
93,2024-06-21 00-28-05_94.png,-0.1054719687490463
94,2024-06-21 00-28-06_95.png,-0.027344584490493484
95,2024-06-21 00-28-06_96.png,-0.07812738425855281
96,2024-06-21 00-28-07_97.png,0.0
97,2024-06-21 00-28-07_98.png,0.0
98,2024-06-21 00-28-08_99.png,0.0
99,2024-06-21 00-28-08_100.png,0.0
100,2024-06-21 00-28-09_101.png,0.0
101,2024-06-21 00-28-10_102.png,0.0
102,2024-06-21 00-28-10_103.png,0.0
103,2024-06-21 00-28-11_104.png,0.0
104,2024-06-21 00-28-11_105.png,0.0
105,2024-06-21 00-28-12_106.png,0.0
106,2024-06-21 00-28-12_107.png,0.0
107,2024-06-21 00-28-13_108.png,0.0
108,2024-06-21 00-28-13_109.png,0.0
109,2024-06-21 00-28-14_110.png,0.0
110,2024-06-21 00-28-14_111.png,0.0
111,2024-06-21 00-28-15_112.png,0.0
112,2024-06-21 00-28-15_113.png,0.0
113,2024-06-21 00-28-16_114.png,0.0
114,2024-06-21 00-28-17_115.png,0.0
115,2024-06-21 00-28-17_116.png,0.0
116,2024-06-21 00-28-18_117.png,0.0
117,2024-06-21 00-28-18_118.png,0.0
118,2024-06-21 00-28-19_119.png,0.0
119,2024-06-21 00-28-19_120.png,0.0
120,2024-06-21 00-28-20_121.png,0.0
121,2024-06-21 00-28-20_122.png,0.0
122,2024-06-21 00-28-21_123.png,0.0
123,2024-06-21 00-28-21_124.png,0.0
124,2024-06-21 00-28-22_125.png,0.0
125,2024-06-21 00-28-22_126.png,0.0
126,2024-06-21 00-28-23_127.png,0.0
127,2024-06-21 00-28-23_128.png,0.0
128,2024-06-21 00-28-24_129.png,0.0
129,2024-06-21 00-28-24_130.png,0.0
130,2024-06-21 00-28-25_131.png,0.0
131,2024-06-21 00-28-26_132.png,0.0
132,2024-06-21 00-28-26_133.png,0.0
133,2024-06-21 00-28-27_134.png,0.0
134,2024-06-21 00-28-27_135.png,0.0
135,2024-06-21 00-28-28_136.png,0.0
136,2024-06-21 00-28-28_137.png,0.0
137,2024-06-21 00-28-29_138.png,0.0
138,2024-06-21 00-28-29_139.png,0.0
139,2024-06-21 00-28-30_140.png,0.0
140,2024-06-21 00-28-30_141.png,0.0
141,2024-06-21 00-28-31_142.png,0.0
142,2024-06-21 00-28-31_143.png,0.0
143,2024-06-21 00-28-32_144.png,0.0
144,2024-06-21 00-28-32_145.png,0.0
145,2024-06-21 00-28-33_146.png,0.0
146,2024-06-21 00-28-34_147.png,0.0
147,2024-06-21 00-28-34_148.png,0.0
148,2024-06-21 00-28-35_149.png,0.0
149,2024-06-21 00-28-35_150.png,0.0
150,2024-06-21 00-28-36_151.png,0.0
151,2024-06-21 00-28-36_152.png,0.0
152,2024-06-21 00-28-37_153.png,0.0
153,2024-06-21 00-28-37_154.png,0.0
154,2024-06-21 00-28-38_155.png,0.0
155,2024-06-21 00-28-38_156.png,0.0
156,2024-06-21 00-28-39_157.png,0.0
157,2024-06-21 00-28-39_158.png,0.0
158,2024-06-21 00-28-40_159.png,0.0
159,2024-06-21 00-28-41_160.png,0.0
160,2024-06-21 00-28-41_161.png,0.0
161,2024-06-21 00-28-42_162.png,0.0
162,2024-06-21 00-28-42_163.png,0.0
163,2024-06-21 00-28-43_164.png,0.0
164,2024-06-21 00-28-43_165.png,0.0
165,2024-06-21 00-28-44_166.png,0.0
166,2024-06-21 00-28-44_167.png,0.0
167,2024-06-21 00-28-45_168.png,0.0
168,2024-06-21 00-28-45_169.png,0.0
169,2024-06-21 00-28-46_170.png,0.0
170,2024-06-21 00-28-46_171.png,0.0
171,2024-06-21 00-28-47_172.png,0.0
172,2024-06-21 00-28-47_173.png,0.0
173,2024-06-21 00-28-48_174.png,0.0
174,2024-06-21 00-28-48_175.png,0.0
175,2024-06-21 00-28-49_176.png,0.0
176,2024-06-21 00-28-50_177.png,0.0
177,2024-06-21 00-28-50_178.png,0.0
178,2024-06-21 00-28-51_179.png,0.0
179,2024-06-21 00-28-51_180.png,0.0
180,2024-06-21 00-28-52_181.png,0.0
181,2024-06-21 00-28-52_182.png,0.0
182,2024-06-21 00-28-53_183.png,0.0
183,2024-06-21 00-28-53_184.png,0.0
184,2024-06-21 00-28-54_185.png,0.0
185,2024-06-21 00-28-54_186.png,0.0
186,2024-06-21 00-28-55_187.png,0.0
187,2024-06-21 00-28-55_188.png,0.0
188,2024-06-21 00-28-56_189.png,0.0
189,2024-06-21 00-28-56_190.png,0.0
190,2024-06-21 00-28-57_191.png,0.0
191,2024-06-21 00-28-57_192.png,0.0
192,2024-06-21 00-28-58_193.png,-0.007812738425855281
193,2024-06-21 00-28-59_194.png,0.0
194,2024-06-21 00-28-59_195.png,-0.04687643055513169
195,2024-06-21 00-29-00_196.png,-0.06250190740684225
196,2024-06-21 00-29-00_197.png,-0.06250190740684225
197,2024-06-21 00-29-01_198.png,-0.011719107638782922
198,2024-06-21 00-29-01_199.png,-0.035157322916348765
199,2024-06-21 00-29-02_200.png,-0.05468916898098697
200,2024-06-21 00-29-02_201.png,-0.06250190740684225
201,2024-06-21 00-29-03_202.png,-0.019531846064638203
202,2024-06-21 00-29-03_203.png,0.0
203,2024-06-21 00-29-04_204.png,0.0
204,2024-06-21 00-29-04_205.png,-0.035157322916348765
205,2024-06-21 00-29-05_206.png,-0.04687643055513169
206,2024-06-21 00-29-06_207.png,-0.04687643055513169
207,2024-06-21 00-29-06_208.png,0.0
208,2024-06-21 00-29-07_209.png,0.0
209,2024-06-21 00-29-07_210.png,0.0
210,2024-06-21 00-29-08_211.png,-0.05468916898098697
211,2024-06-21 00-29-08_212.png,-0.04687643055513169
212,2024-06-21 00-29-09_213.png,-0.05468916898098697
213,2024-06-21 00-29-09_214.png,-0.05468916898098697
214,2024-06-21 00-29-10_215.png,-0.05078279976805933
215,2024-06-21 00-29-10_216.png,-0.027344584490493484
216,2024-06-21 00-29-11_217.png,-0.04297006134220405
217,2024-06-21 00-29-11_218.png,-0.019531846064638203
218,2024-06-21 00-29-12_219.png,-0.031250953703421125
219,2024-06-21 00-29-13_220.png,0.0
220,2024-06-21 00-29-13_221.png,0.0
221,2024-06-21 00-29-14_222.png,-0.04297006134220405
222,2024-06-21 00-29-14_223.png,-0.015625476851710562
223,2024-06-21 00-29-15_224.png,-0.023438215277565844
224,2024-06-21 00-29-15_225.png,-0.039063692129276406
225,2024-06-21 00-29-16_226.png,-0.04687643055513169
226,2024-06-21 00-29-16_227.png,-0.04687643055513169
227,2024-06-21 00-29-17_228.png,-0.04297006134220405
228,2024-06-21 00-29-17_229.png,-0.04297006134220405
229,2024-06-21 00-29-18_230.png,-0.04297006134220405
230,2024-06-21 00-29-18_231.png,-0.007812738425855281
231,2024-06-21 00-29-19_232.png,-0.007812738425855281
232,2024-06-21 00-29-19_233.png,-0.05468916898098697
233,2024-06-21 00-29-20_234.png,-0.05859553819391461
234,2024-06-21 00-29-21_235.png,-0.027344584490493484
235,2024-06-21 00-29-21_236.png,-0.05468916898098697
236,2024-06-21 00-29-22_237.png,-0.05078279976805933
237,2024-06-21 00-29-22_238.png,1.5259254737998596e-05
238,2024-06-21 00-29-23_239.png,0.0
239,2024-06-21 00-29-23_240.png,0.0
240,2024-06-21 00-29-24_241.png,-0.027344584490493484
241,2024-06-21 00-29-24_242.png,0.007950071718497268
242,2024-06-21 00-29-25_243.png,-0.06250190740684225
243,2024-06-21 00-29-25_244.png,0.0
244,2024-06-21 00-29-26_245.png,-0.031250953703421125
245,2024-06-21 00-29-26_246.png,0.0
246,2024-06-21 00-29-27_247.png,0.0
247,2024-06-21 00-29-27_248.png,-0.05468916898098697
248,2024-06-21 00-29-28_249.png,0.0
249,2024-06-21 00-29-29_250.png,-0.035157322916348765
250,2024-06-21 00-29-29_251.png,0.0
251,2024-06-21 00-29-30_252.png,0.0
252,2024-06-21 00-29-30_253.png,0.0
253,2024-06-21 00-29-31_254.png,0.0
254,2024-06-21 00-29-31_255.png,0.0
255,2024-06-21 00-29-32_256.png,0.0
256,2024-06-21 00-29-32_257.png,0.0
