,Paths,Angle
0,2024-06-21 01-08-18_1.png,0.0
1,2024-06-21 01-08-18_2.png,0.0
2,2024-06-21 01-08-19_3.png,0.0
3,2024-06-21 01-08-19_4.png,0.0
4,2024-06-21 01-08-20_5.png,0.0
5,2024-06-21 01-08-20_6.png,0.0
6,2024-06-21 01-08-21_7.png,0.0
7,2024-06-21 01-08-21_8.png,0.0
8,2024-06-21 01-08-22_9.png,0.0
9,2024-06-21 01-08-23_10.png,0.0
10,2024-06-21 01-08-23_11.png,0.0
11,2024-06-21 01-08-24_12.png,0.0
12,2024-06-21 01-08-24_13.png,0.0
13,2024-06-21 01-08-25_14.png,0.0
14,2024-06-21 01-08-25_15.png,0.0
15,2024-06-21 01-08-26_16.png,0.0
16,2024-06-21 01-08-26_17.png,0.0
17,2024-06-21 01-08-27_18.png,0.0
18,2024-06-21 01-08-27_19.png,0.0
19,2024-06-21 01-08-28_20.png,0.0
20,2024-06-21 01-08-28_21.png,0.0
21,2024-06-21 01-08-29_22.png,0.0
22,2024-06-21 01-08-29_23.png,0.0
23,2024-06-21 01-08-30_24.png,0.0
24,2024-06-21 01-08-31_25.png,0.0
25,2024-06-21 01-08-31_26.png,0.0
26,2024-06-21 01-08-32_27.png,0.0
27,2024-06-21 01-08-32_28.png,0.0
28,2024-06-21 01-08-33_29.png,0.0
29,2024-06-21 01-08-33_30.png,0.0
30,2024-06-21 01-08-34_31.png,0.0
31,2024-06-21 01-08-34_32.png,0.0
32,2024-06-21 01-08-35_33.png,0.0
33,2024-06-21 01-08-35_34.png,0.0
34,2024-06-21 01-08-36_35.png,0.0
35,2024-06-21 01-08-36_36.png,0.0
36,2024-06-21 01-08-37_37.png,0.0
37,2024-06-21 01-08-38_38.png,0.0
38,2024-06-21 01-08-38_39.png,0.0
39,2024-06-21 01-08-39_40.png,0.0
40,2024-06-21 01-08-39_41.png,0.0
41,2024-06-21 01-08-40_42.png,0.0
42,2024-06-21 01-08-40_43.png,0.0
43,2024-06-21 01-08-41_44.png,0.0
44,2024-06-21 01-08-41_45.png,0.0
45,2024-06-21 01-08-42_46.png,0.0
46,2024-06-21 01-08-42_47.png,0.0
47,2024-06-21 01-08-43_48.png,0.0
48,2024-06-21 01-08-43_49.png,0.0
49,2024-06-21 01-08-44_50.png,0.0
50,2024-06-21 01-08-44_51.png,0.05954161198767052
51,2024-06-21 01-08-45_52.png,0.0793786431470687
52,2024-06-21 01-08-45_53.png,0.011917477950376903
53,2024-06-21 01-08-46_54.png,1.5259254737998596e-05
54,2024-06-21 01-08-47_55.png,0.08334604937894834
55,2024-06-21 01-08-47_56.png,0.0912808618427076
56,2024-06-21 01-08-48_57.png,0.0912808618427076
57,2024-06-21 01-08-48_58.png,0.10715048677022614
58,2024-06-21 01-08-49_59.png,0.10715048677022614
59,2024-06-21 01-08-49_60.png,0.10715048677022614
60,2024-06-21 01-08-50_61.png,0.12302011169774468
61,2024-06-21 01-08-50_62.png,0.1031830805383465
62,2024-06-21 01-08-51_63.png,0.1031830805383465
63,2024-06-21 01-08-51_64.png,0.09524826807458724
64,2024-06-21 01-08-52_65.png,0.08731345561082797
65,2024-06-21 01-08-52_66.png,0.08731345561082797
66,2024-06-21 01-08-53_67.png,0.08731345561082797
67,2024-06-21 01-08-54_68.png,0.08731345561082797
68,2024-06-21 01-08-54_69.png,0.0793786431470687
69,2024-06-21 01-08-55_70.png,0.0
70,2024-06-21 01-08-55_71.png,0.05557420575579089
71,2024-06-21 01-08-56_72.png,0.05557420575579089
72,2024-06-21 01-08-56_73.png,0.0
73,2024-06-21 01-08-57_74.png,0.0
74,2024-06-21 01-08-57_75.png,-0.039063692129276406
75,2024-06-21 01-08-58_76.png,0.0
76,2024-06-21 01-08-58_77.png,0.0
77,2024-06-21 01-08-59_78.png,0.0
78,2024-06-21 01-08-59_79.png,0.0
79,2024-06-21 01-09-00_80.png,0.0
80,2024-06-21 01-09-00_81.png,0.0
81,2024-06-21 01-09-01_82.png,0.0
82,2024-06-21 01-09-01_83.png,0.011917477950376903
83,2024-06-21 01-09-02_84.png,0.0
84,2024-06-21 01-09-03_85.png,-0.019531846064638203
85,2024-06-21 01-09-03_86.png,0.0
86,2024-06-21 01-09-04_87.png,0.0
87,2024-06-21 01-09-04_88.png,0.0
88,2024-06-21 01-09-05_89.png,0.0
